"letra","letra_desc","establecimientos","prop_mujeres_promedio","prop_mujeres_mediana","tamaño_promedio","tasa_exportadores","prop_pequeñas","cluster"
"A","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",136544,0.0855563431396695,0,6.92312368174404,0.021143367705648,0.0784948441528006,"1"
"B","EXPLOTACION DE MINAS Y CANTERAS",4792,0.14235791515893,0,12.6127921535893,0.254382303839733,0.310726210350584,"3"
"C","INDUSTRIA MANUFACTURERA",134388,0.225821540946225,0.0555555555555556,10.6821740036336,0.149090692621365,0.23192546953597,"3"
"D","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",3561,0.180368613241471,0.0769230769230769,13.8133951137321,0.0679584386408312,0.359730412805392,"3"
"E","SUMINISTRO DE AGUA; CLOACAS; GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO",3404,0.13798132778462,0,11.3337250293772,0.0129259694477086,0.258519388954172,"3"
"F","CONSTRUCCIÓN",67132,0.0830008168202056,0,10.1786778287546,0.012453077518918,0.211374605255318,"3"
"G","COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS",387785,0.406442607707349,0.3,7.7164588625118,0.0289593460293719,0.110875871939348,"1"
"H","SERVICIO DE TRANSPORTE Y ALMACENAMIENTO",92504,0.0908948742637993,0,7.62019480238806,0.0242367897604428,0.106946726628038,"1"
"I","SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA",65067,0.501974746514552,0.5,9.24618470192136,0.00991285905297616,0.173313661302965,"2"
"J","INFORMACIÓN Y COMUNICACIONES",27502,0.298868297402031,0.222222222222222,10.2399461857322,0.0883935713766272,0.213875354519671,"3"
"K","INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS",31823,0.570350616342132,0.5625,9.0426578261007,0.00169688590013512,0.165006441881658,"2"
"L","SERVICIOS INMOBILIARIOS",46382,0.390133709448575,0,5.51396015695744,0.00133672545383985,0.0209779655900996,"1"
"M","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",69611,0.53145611521412,0.5,6.67777362773159,0.00647886109953887,0.0684805562339285,"2"
"N","ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO",66223,0.401022104886369,0.318181818181818,9.13210666988862,0.00610059948960331,0.168657415097474,"2"
"O","ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",2497,0.553876639518017,0.571428571428571,8.39487384861836,0,0.138566279535443,"2"
"P","ENSEÑANZA",16480,0.774191825967353,0.886363636363636,14.8297330097089,0.000849514563106796,0.40121359223301,"2"
"Q","SALUD HUMANA Y SERVICIOS SOCIALES",54176,0.820805708146191,1,8.42835388363928,0.00466996455995275,0.139932811577082,"2"
"R","SERVICIOS ARTÍSTICOS, CULTURALES, DEPORTIVOS Y DE ESPARCIMIENTO",18255,0.528617661635654,0.5,7.48824979457711,0.00892906053136127,0.101561216105177,"2"
"S","SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES",138284,0.413648450196691,0.166666666666667,6.26535969454158,0.000990714760926788,0.0516473344710885,"1"
